Year,Organizing_IIT,Total_Marks_Paper,Avg_Chem,Avg_Phy,Avg_Math,Highest_Score,GE_Aggregate_Cutoff,Cutoff_Math,Cutoff_Phys,Cutoff_Chem,Bonus_Marks
2011,IIT Kanpur,480,20,20,34,440,229,34,38,23,12
2012,IIT Delhi,408,17,16,13,385,141,14,14,14,0
2013,IIT Delhi,360,22,26,20,332,126,12,12,12,0
2014,IIT Kharagpur,360,30.01,25.02,24.88,334,126,12,12,12,0
2015,IIT Bombay,504,25,28,20,469,62,16,17,15,0
2016,IIT Guwahati,372,28,22,15,320,75,13,13,13,0
2017,IIT Madras,366,29.75,35,36,339,128,12,12,12,18
2018,IIT Kanpur,360,29,34,16,337,90,12,12,12,0
2019,IIT Roorkee,372,20.9,19.5,18.8,346,93,12,12,12,0
2020,IIT Delhi,396,11.23,19.5,13,352,69,6,6,6,0
2021,IIT Kharagpur,360,16.59,15.65,11.23,348,63,6,6,6,0
2022,IIT Bombay,360,12.18,9.38,4.83,314,55,5,5,5,11
2023,IIT Guwahati,360,24.51,19.45,16.51,341,86,8,8,8,6
2024,IIT Madras,360,27.56,28.32,21.36,355,109,10,10,10,3
2025,IIT Kanpur,360,16.63,24.18,21.89,332,74,7,7,7,3